id,lon,lat,province,city,name,address,brand,category,birth,all_day,wifi,store_view,basketball,self_service,attractions,train,breakfast
15487,116.28094,39.95174,北京市,北京市,板井路,远大路远大居住区二期世纪金源大酒店一层东南角,KFC,餐饮,true,false,false,true,true,true,false,false,true
15205,116.362701,39.79407,北京市,北京市,大兴新宫DT,西红门路丙13号一层加二层,KFC,餐饮,true,false,false,true,false,true,false,false,true
15184,116.209496,39.75268,北京市,北京市,长阳,长阳镇起步区五号地商业综合体中粮万科半岛商业广场首层L1017A及二层L2030A??,KFC,餐饮,false,false,false,false,false,true,false,false,false
15186,116.157956,39.723521,北京市,北京市,良乡长虹东路,拱辰街道东羊庄村18号一层,KFC,餐饮,true,false,false,true,true,true,false,false,true
15183,116.220176,40.222182,北京市,北京市,昌平京客隆,西关路20号三号楼京客隆超市一层二层西侧3号商铺,KFC,餐饮,true,false,false,true,true,true,false,false,true
15177,116.354398,40.03694,北京市,北京市,永泰庄,清河永泰庄路甲1号,KFC,餐饮,true,true,false,true,false,true,false,false,true
15179,116.378475,39.865241,北京市,北京市,北京南站二,南站候车大厅地下一层（快速进站口1）部分场地,KFC,餐饮,false,false,false,false,false,true,false,true,true
15197,116.171762,39.923397,北京市,北京市,金顶东街,阜石路北辛安段铁路道口西南侧“喜隆多时尚生活购物城东北侧”,KFC,餐饮,true,false,false,true,true,true,false,false,true
15282,120.263102,29.701733,浙江省,绍兴市,诸暨永利,诸暨市苎萝东路399号永利广场1层,KFC,餐饮,false,false,false,false,false,false,false,false,false
15182,116.332335,40.030434,北京市,北京市,橡树湾,清河镇华润五彩城商业一层,KFC,餐饮,true,false,false,true,false,true,false,false,true
15173,116.378475,39.865241,北京市,北京市,北京南站七-SEL,南站到达层16号检票口之间,KFC,餐饮,false,false,false,false,false,true,false,true,true
15175,116.455632,39.876731,北京市,北京市,潘家园,潘家园东里甲30号楼,KFC,餐饮,true,false,false,true,true,true,false,false,true
15178,116.594457,40.079945,北京市,北京市,机场SELECT,首都机场新二号航站楼F1+B1,KFC,餐饮,false,true,false,false,false,false,false,false,false
15174,116.321121,39.895346,北京市,北京市,西客站内三,莲花桥东路118号北京西客站候车大厅内2层第4营业厅及2层夹层回廊,KFC,餐饮,false,false,false,false,false,true,false,true,true
19918,118.392744,31.348381,安徽省,芜湖市,芜湖火车站,芜湖站WHGJ-8,KFC,餐饮,false,false,false,false,false,false,false,false,false
15744,117.835167,30.948855,安徽省,铜陵市,铜陵嘉华大润发,铜陵市石城大道与翠湖路交口,KFC,餐饮,false,false,false,false,false,false,false,false,true
15034,116.119073,30.157072,安徽省,安庆市,宿松人民路,宿松人民路166号,KFC,餐饮,false,false,false,false,false,false,false,false,false
20044,106.800111,26.542426,贵州省,贵阳市,新龙洞堡机场,龙洞堡机场新航站楼商业区域,KFC,餐饮,true,false,false,false,false,true,false,false,true
15107,116.643209,39.906179,北京市,北京市,通州万达广场,新华北街8号万达广场内的 2026 号商铺,KFC,餐饮,true,false,false,false,false,true,false,false,false
15063,116.680333,23.468835,广东省,潮州市,潮安潮汕路,潮安县潮汕公路与安北路交界处东南角潮安卜峰莲花场首层B1A－13店铺,KFC,餐饮,true,true,false,true,true,false,false,false,true
15816,120.853145,30.054627,浙江省,绍兴市,上虞高铁站,上虞市崧厦路与四环路交汇处上虞北站,KFC,餐饮,false,false,false,false,false,true,false,true,true
15185,116.284087,39.889893,北京市,北京市,靛厂路,靛厂路千禧商业街2号楼一、二层,KFC,餐饮,true,false,false,true,true,true,false,false,true
15129,116.20762,40.040536,北京市,北京市,温泉天客隆,温泉镇太舟坞村南侧太舟坞农贸大厅天客隆超一层101号商铺?,KFC,餐饮,true,false,false,true,false,true,false,false,true
15181,116.419686,39.896257,北京市,北京市,搜秀,崇文门外大街40号,KFC,餐饮,false,false,false,true,false,true,false,false,true
